course_name,distance,start_point_name,last_point,course_level,course_points,start_coordinates,end_coordinates
양재천,9.53Km,도곡역,양재1동주민센터,1,학여울역 인근~도곡역 인근~구룡초등학교 인근~양재시민의숲역 인근~양재1동주민센터 인근,"(127.05549883514037, 37.49097398162934)","(127.026728803944, 37.4716393313279)"
구룡산 나들길,6.02km,개암약수터,개암약수터,2,달터근린공원~구룡산길 시작~개암약수터,"(127.06049142598194, 37.471693545493)","(127.06049142598194, 37.471693545493)"
대모산 나들길,4.80km,세곡2보금자리,대모산 정상,2,실로암 약수터~대모산 초소위~독도모형~대모산 정상,"(127.093632346802, 37.4808207821153)","(127.107028141845, 37.4747366056536)"
선정릉나들길,4.15km,봉은사 대웅전,선릉,2,대웅전~미륵대불~선릉외각길~매표소~정릉~전현왕후릉~선릉,"(127.057348355477, 37.515583162726)","(127.04892851392, 37.5091105328378)"
탄천길,7.14Km,가든파이브,잠실종합운동장,1,송파자원순환공원 인근~서울메트로 수서차량사업소 인근~강남주민 편의시설 인근~잠실 우성아파트 인근~잠실종합운동장 인근,"(127.12479134707128, 37.477790721122545)","(127.073024865801, 37.5145906150942)"
송파소리길,30.21km,서울삼전도비,양재천 산책로,3,석촌호수길~한성백제박물관~몽촌토성~양재천 산책로,"(127.101672757528, 37.5105077043292)","(127.046595188917, 37.4818037639471)"
송파강동한강길,17.98Km,종합운동장역 지하철 2호선,춘천고속도로,1,잠실한강공원 인근~잠실대교 인근~한강공원광나루지구 인근~광나루자전거공원 인근~암사동선사주거지 인근~고덕천 인근~춘천고속도로 인근,"(127.073849447402, 37.5111446632705)","(127.62685668172, 37.7384705307325)"
성내천길,5.49Km,한성백제박물관,아남아파트,1,아산병원 인근~풍납중학교 인근~몽촌토성 인근~올림픽수영장 인근~오륜주민센터 인근~오륜사거리 인근~아남아파트 인근,"(127.120895017165, 37.5154126785182)","(127.14599541560086, 37.55812234235813)"
석촌호수 산책길,4.17km,서울삼전도비,방이동백제고분군,1,석촌호수길~석촌동백제초기적성총~방이동백제고분군,"(127.101672757528, 37.5105077043292)","(127.11883559872166, 37.50779587992483)"
몽촌토성 나들길,3.67km,올림픽공원역 1번 출입구,88호수,2,몽촌토성~한성백제박물관~몽촌토성길~88호수,"(127.13147304235781, 37.51654024580638)","(127.12534899788, 37.5219348993789)"
일자산 숲 나들길,5.21km,길동자연생태공원,둔촌이집선생 둔굴,2,길동자연생태공원~강동그린웨이 가족캠핑장~둔촌이집선생 둔굴,"(127.15541883551022, 37.54081566319114)","(127.15541883551022, 37.54081566319114)"
망월천길,3.98Km,강일리버파크2단지,강일리버파크1단지,1,공동주택 인근~강동중학교 인근~강일리버파크2단지 인근~강일리버파크1단지 인근,"(127.17644649415863, 37.56946934224351)","(127.17201752206532, 37.567642354666944)"
